Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
6/5/2016 6:12,17.4S,138.3E,28.7,14.5,6,-11.9,5.7,3.31E+11,0.87
6/2/2016 10:56,33.8N,110.9W,,,,,,1.72E+11,0.49
5/29/2016 12:14,10.2N,48.8W,32,,,,,6.90E+10,0.22
5/20/2016 11:59,32.8S,15.1E,30.6,20.8,5.4,-9.9,17.5,2.00E+10,0.073
5/16/2016 10:09,3.2N,6.6E,41.7,12.2,-6.7,-3.3,-9.6,5.19E+11,1.3
5/13/2016 0:34,26.2N,122.3W,33,,,,,1.01E+11,0.31
4/24/2016 5:39,9.8N,42.8W,50,,,,,1.46E+11,0.42
4/18/2016 11:59,20.7N,14.5W,31.5,17.1,-3.5,2.2,-16.6,2.24E+11,0.62
4/12/2016 9:51,38.3N,162.2E,,,,,,2.00E+10,0.073
4/10/2016 14:57,22.0N,149.0E,35.2,15.1,4.7,-12.9,-6.4,6.55E+11,1.6
3/16/2016 23:54,49.2S,6.3W,42,13.3,-7.6,9.1,6,3.20E+10,0.11
3/3/2016 1:32,48.0S,51.0E,31.8,11.7,4.8,-7.1,7.9,5.80E+10,0.19
2/23/2016 3:59,32.3N,67.2E,44,17.9,-8.5,-1.6,-15.7,3.50E+10,0.12
2/21/2016 5:58,36.5N,37.2W,32,,,,,3.69E+11,0.96
2/19/2016 8:15,0.7N,11.6W,39.4,15.5,-14.9,-0.5,4.1,2.02E+11,0.56
2/6/2016 13:55,30.4S,25.5W,31,15.6,2.7,14.5,5,6.85E+12,13
1/27/2016 9:59,45.8S,53.6E,37,11.5,-10,-4.4,3.6,5.00E+10,0.16
1/21/2016 16:44,10.8S,0.7E,42.5,18.1,-3.8,-17.7,-1.2,4.60E+10,0.15
12/30/2015 13:07,33.8N,160.7W,39,,,,,2.20E+10,0.079
12/21/2015 2:32,5.9N,143.0E,42.2,12.1,6.4,-10,2.5,8.30E+10,0.26
12/8/2015 0:34,69.9S,150.5E,38,,,,,1.97E+11,0.55
11/13/2015 14:59,16.0N,124.3E,28,,,,,1.02E+11,0.31
11/2/2015 21:34,41.4S,33.0E,37,,,,,7.80E+10,0.24
10/31/2015 11:34,9.0N,138.0W,71,,,,,9.70E+10,0.29
10/13/2015 12:23,8.0S,52.5W,38.9,12.9,-6.6,3.8,10.4,2.30E+10,0.082
10/11/2015 0:07,55.4S,18.8W,,,,,,3.00E+10,0.1
10/10/2015 9:57,51.0S,21.1W,51.8,11.8,-1.3,-5.1,10.6,3.60E+10,0.12
10/4/2015 21:02,22.0N,171.6W,36.1,,,,,4.40E+10,0.15
9/17/2015 21:03,43.1S,94.9E,,,,,,9.80E+10,0.3
9/14/2015 23:50,5.8N,15.2W,,,,,,7.00E+10,0.22
9/8/2015 13:46,6.3N,29.9E,44.4,16.1,-11.5,-11.3,-0.9,2.00E+10,0.073
9/7/2015 1:41,14.5N,98.9E,29.3,21,16.8,-12,-3.8,1.80E+12,3.9
9/2/2015 20:10,39.1N,40.2E,39.8,24.1,10.3,-12.2,-18,3.70E+10,0.13
7/19/2015 7:06,20.6N,87.6W,22,17.8,9.4,13,7.8,2.30E+10,0.082
7/12/2015 22:23,31.0N,159.6E,41,,,,,2.20E+10,0.079
7/4/2015 1:40,38.6N,103.1E,46.3,49,0.9,-40.4,-27.7,5.60E+10,0.18
6/14/2015 3:03,6.3N,124.1E,32.4,31.9,-4.7,-17.8,-26,7.10E+10,0.22
6/12/2015 17:03,1.3S,32.1W,43.5,,,,,1.76E+11,0.5
6/10/2015 17:43,11.5S,161.9W,61.1,,,,,3.84E+11,1
6/2/2015 8:44,6.4S,142.7W,,,,,,3.80E+11,0.99
5/20/2015 10:20,1.0N,172.6E,32.4,,,,,3.60E+10,0.12
5/18/2015 17:13,32.4N,139.1E,29,,,,,4.30E+10,0.14
5/10/2015 7:45,46.3S,179.3W,29.6,12.2,11.2,0.9,4.7,1.43E+11,0.42
5/7/2015 20:34,21.5S,29.3W,37,17.3,-16.2,-5.8,1.4,5.20E+10,0.17
4/30/2015 10:21,48.7S,139.1E,26.7,12.9,12.2,-4.2,0.9,1.05E+11,0.32
4/21/2015 1:42,37.7N,39.6W,37.4,21.3,-15.3,12.8,7.4,8.80E+10,0.27
4/10/2015 1:14,42.8S,8.2E,,,,,,6.50E+10,0.21
4/8/2015 4:06,25.5S,51.5E,36.3,19.2,8,-15.6,-7.9,1.73E+11,0.49
4/3/2015 1:39,8.4N,157.9W,,,,,,4.20E+10,0.14
3/30/2015 21:33,36.1S,5.5W,33.1,13.8,-13.7,-1.7,0.8,6.40E+10,0.2
3/18/2015 0:04,5.4S,159.3E,50,,,,,1.21E+11,0.36
3/11/2015 6:18,8.0N,119.1E,35.2,19.9,5.5,-10.5,-16,7.20E+10,0.23
3/8/2015 4:26,39.1S,118.6W,,,,,,2.00E+10,0.073
3/4/2015 4:30,15.9S,88.1E,39.8,18,7.8,-16,-2.5,5.50E+10,0.18
2/26/2015 22:06,68.0N,149.0W,33.7,21.1,5.6,-2.3,-20.2,1.88E+11,0.53
2/25/2015 10:53,12.4N,122.4W,42,,,,,5.80E+10,0.19
2/17/2015 13:19,8.0S,11.2W,39,28.8,-28.2,3.4,4.6,3.30E+10,0.11
1/9/2015 17:31,23.3S,49.2W,,,,,,2.20E+10,0.079
1/9/2015 10:41,2.0N,28.8E,36,17.5,-10.7,-7.6,11.6,1.39E+11,0.41
1/7/2015 1:05,45.7N,26.9E,45.5,35.7,-35.4,1.8,-4.4,1.36E+11,0.4
1/2/2015 13:39,31.1S,140.0E,38.1,18.1,4.5,-14.4,-10,2.00E+10,0.073
12/13/2014 2:53,86.7N,162.1W,30.7,21.7,15.3,-13.3,-7.8,4.40E+10,0.15
12/12/2014 6:48,33.5N,144.9E,26.3,12,11.5,-2.8,-2.2,3.30E+10,0.11
12/9/2014 21:19,76.6N,96.3E,26.3,,,,,7.80E+10,0.24
11/28/2014 11:47,45.8S,172.7W,26.1,13.4,0.4,-1.4,13.3,7.00E+11,1.7
11/27/2014 12:12,18.8S,73.4W,38,,,,,5.50E+10,0.18
11/26/2014 23:16,69.5S,179.7W,23.3,25.3,21.3,2.2,13.4,1.18E+11,0.35
11/26/2014 17:40,68.2S,24.0W,37,19.9,-7,16.1,9.4,1.05E+11,0.32
11/4/2014 20:13,43.1N,115.8E,22.2,16,-7.2,-12.1,-7.7,1.56E+11,0.45
10/21/2014 18:55,22.2N,132.9W,,,,,,3.40E+10,0.12
10/17/2014 14:07,4.6S,66.3W,39,,,,,7.20E+10,0.23
10/14/2014 10:25,2.0S,119.2E,27.2,16.9,15,-6.9,-3.5,2.90E+10,0.1
10/6/2014 20:02,43.7S,85.7E,,,,,,3.90E+10,0.13
9/9/2014 18:55,3.2N,137.2E,32.5,,,,,2.80E+10,0.098
9/5/2014 21:37,22.7N,150.0W,,,,,,3.50E+10,0.12
8/29/2014 23:15,6.2S,49.9W,,,,,,2.60E+10,0.092
8/28/2014 3:07,3.2N,45.4W,,,,,,3.40E+10,0.12
8/23/2014 6:29,61.7S,132.6E,22.2,16.2,-2.3,5.7,16.5,3.82E+12,7.6
7/29/2014 7:38,49.2S,172.2W,,,,,,7.30E+10,0.23
7/29/2014 3:07,33.9S,115.9W,,,,,,5.30E+10,0.17
6/28/2014 2:40,18.9N,141.2E,26.3,12.4,12,3.5,-10.5,2.45E+11,0.67
6/26/2014 5:54,71.5S,93.4E,28.5,11.2,7,2.9,8.3,6.10E+10,0.2
5/29/2014 1:12,21.9N,131.1W,28.7,,,,,5.80E+10,0.19
5/16/2014 20:06,39.4S,95.9W,30.8,18,2.9,13.4,-12.5,1.36E+11,0.4
5/16/2014 12:42,44.2S,176.2W,44,16.5,14.4,4.6,6.5,3.09E+11,0.82
5/8/2014 19:42,36.9S,87.3E,35.4,19,-2,-16.1,9.9,1.05E+12,2.4
3/29/2014 13:45,28.7S,121.5E,30.7,16.3,10,-12.7,2.2,3.90E+10,0.13
3/18/2014 11:02,0.0N,111.8W,30.5,,,,,5.40E+11,1.3
3/3/2014 15:00,29.0S,94.9W,,,,,,9.40E+10,0.29
2/18/2014 12:50,32.8S,61.5W,,,,,,2.60E+10,0.092
2/13/2014 6:47,13.3N,110.7W,25,,,,,6.30E+11,1.5
1/15/2014 2:46,18.5S,141.8E,29.6,,,,,1.40E+11,0.41
1/12/2014 16:00,2.9N,64.4E,37,16.2,-5.2,-15.1,2.6,7.80E+10,0.24
1/8/2014 17:05,1.3S,147.6E,18.7,44.8,-3.4,-43.5,-10.3,3.10E+10,0.11
12/23/2013 8:30,39.5N,2.0E,34.3,15.1,-1.1,11.4,-9.9,1.47E+11,0.43
12/8/2013 3:10,32.8N,165.1W,23.5,11.8,2.3,2.5,-11.3,6.40E+10,0.2
11/21/2013 1:50,44.7N,35.3E,59.3,12.4,-5,-11,-2.7,7.50E+10,0.23
10/12/2013 16:06,19.1S,25.0W,22.2,12.8,-8,8.4,-5.5,1.61E+12,3.5
9/24/2013 15:31,10.3S,164.7W,40.7,,,,,1.60E+11,0.46
8/12/2013 18:08,34.4S,118.2E,66.6,,,,,4.40E+10,0.15
7/31/2013 3:50,31.8S,137.1E,29.1,17.8,17.7,-2.3,-0.1,6.90E+10,0.22
7/30/2013 2:36,50.2S,90.2E,25.6,18.8,15.9,-8.6,5.1,3.90E+11,1
7/27/2013 8:30,0.3N,156.2E,26.5,22.1,16,14.9,-3.3,1.20E+11,0.36
7/26/2013 11:32,21.0N,178.5W,37,,,,,2.00E+10,0.073
6/1/2013 22:49,65.6S,138.4E,28.9,,,,,3.40E+10,0.12
5/14/2013 23:20,3.0S,76.4E,,,,,,2.00E+10,0.073
4/30/2013 8:40,35.5N,30.7W,21.2,12.1,1,9,-8,5.11E+12,10
4/21/2013 6:23,28.1S,64.6W,40.7,14.9,5,14,1,1.07E+12,2.5
3/12/2013 10:32,32.7S,17.1E,26,,,,,2.90E+10,0.1
2/20/2013 13:13,23.0S,38.8W,,13.6,-11,-8,-1,3.20E+10,0.1
2/15/2013 3:20,54.8N,61.1E,23.3,18.6,12.8,-13.3,-2.4,3.75E+14,440
2/7/2013 13:12,18.8S,158.6W,,,,,,6.50E+10,0.21
1/25/2013 7:40,60.3N,64.6W,,,,,,3.40E+12,6.9
