,Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
274,2014,36.9S,87.3E,35.4,19.0,-2.0,-16.1,9.9,1050000000000.0,2.4
275,2014,28.7S,121.5E,30.7,16.3,10.0,-12.7,2.2,39000000000.0,0.13
276,2014,0.0N,111.8W,30.5,,,,,540000000000.0,1.3
277,2014,29.0S,94.9W,,,,,,94000000000.0,0.29
278,2014,32.8S,61.5W,,,,,,26000000000.0,0.092
279,2014,13.3N,110.7W,25.0,,,,,630000000000.0,1.5
280,2014,18.5S,141.8E,29.6,,,,,140000000000.0,0.41
281,2014,2.9N,64.4E,37.0,16.2,-5.2,-15.1,2.6,78000000000.0,0.24
282,2014,1.3S,147.6E,18.7,44.8,-3.4,-43.5,-10.3,31000000000.0,0.11
283,2013,39.5N,2.0E,34.3,15.1,-1.1,11.4,-9.9,147000000000.0,0.43
284,2013,32.8N,165.1W,23.5,11.8,2.3,2.5,-11.3,64000000000.0,0.2
285,2013,44.7N,35.3E,59.3,12.4,-5.0,-11.0,-2.7,75000000000.0,0.23
286,2013,19.1S,25.0W,22.2,12.8,-8.0,8.4,-5.5,1610000000000.0,3.5
287,2013,,,,,,,,60000000000.0,0.19
288,2013,10.3S,164.7W,40.7,,,,,160000000000.0,0.46
289,2013,34.4S,118.2E,66.6,,,,,44000000000.0,0.15
290,2013,,,,,,,,39000000000.0,0.13
291,2013,31.8S,137.1E,29.1,17.8,17.7,-2.3,-0.1,69000000000.0,0.22
292,2013,50.2S,90.2E,25.6,18.8,15.9,-8.6,5.1,390000000000.0,1.0
293,2013,0.3N,156.2E,26.5,22.1,16.0,14.9,-3.3,120000000000.0,0.36
294,2013,21.0N,178.5W,37.0,,,,,20000000000.0,0.073
295,2013,,,,,,,,22000000000.0,0.079
296,2013,,,,,,,,22000000000.0,0.079
297,2013,65.6S,138.4E,28.9,,,,,34000000000.0,0.12
298,2013,3.0S,76.4E,,,,,,20000000000.0,0.073
299,2013,35.5N,30.7W,21.2,12.1,1.0,9.0,-8.0,5110000000000.0,10.0
300,2013,28.1S,64.6W,40.7,14.9,5.0,14.0,1.0,1070000000000.0,2.5
301,2013,32.7S,17.1E,26.0,,,,,29000000000.0,0.1
302,2013,23.0S,38.8W,,13.6,-11.0,-8.0,-1.0,32000000000.0,0.1
303,2013,54.8N,61.1E,23.3,18.6,12.8,-13.3,-2.4,375000000000000.0,440.0
304,2013,18.8S,158.6W,,,,,,65000000000.0,0.21
305,2013,60.3N,64.6W,,,,,,3400000000000.0,6.9
306,2013,15.1S,155.6W,36.1,,,,,48000000000.0,0.16
307,2012,17.3N,83.6W,,,,,,198000000000.0,0.55
308,2012,,,,,,,,27000000000.0,0.095
309,2012,2.5N,29.6E,33.3,14.3,-12.2,-5.3,5.3,25000000000.0,0.089
310,2012,8.0S,86.0W,,,,,,120000000000.0,0.36
311,2012,,,,,,,,30000000000.0,0.1
312,2012,75.4S,49.6E,29.3,13.2,-2.3,-3.9,12.4,23000000000.0,0.082
313,2012,51.2N,84.6W,27.8,13.5,3.4,12.0,5.1,210000000000.0,0.58
314,2012,41.5S,21.9W,,17.0,-2.4,5.5,15.9,280000000000.0,0.75
315,2012,8.1S,111.9W,35.0,15.4,1.4,15.3,1.0,470000000000.0,1.2
316,2012,6.9S,73.7E,,,,,,38000000000.0,0.13
317,2012,1.2N,52.2W,28.1,18.3,-1.9,14.1,-11.5,244000000000.0,0.67
318,2012,18.9S,105.2E,,,,,,52000000000.0,0.17
319,2012,69.8S,111.7W,23.8,16.9,-10.2,-5.2,12.4,23000000000.0,0.082
320,2012,18.3S,64.2E,38.7,28.9,-8.0,-23.7,-14.5,68000000000.0,0.22
321,2012,11.8N,117.0E,36.0,12.7,5.0,-11.6,-0.7,249000000000.0,0.68
322,2012,,,,,,,,33000000000.0,0.11
323,2012,63.1N,172.3E,27.2,,,,,34000000000.0,0.12
