,Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
146,2017,28.8N,44.6E,35.4,16.7,-5.7,-10.7,-11.5,24000000000,0.086
147,2017,65.2S,128.2E,24.1,15.9,9.5,-8.3,9.7,33000000000,0.11
148,2017,18.3S,64.1W,,,,,,30000000000,0.1
149,2017,28.1N,99.4E,37,14.6,-8.5,-9,7.8,1.92E+11,0.54
150,2017,49.3N,116.9W,36,14.7,12.7,-6.1,-4.2,38000000000,0.13
151,2017,24.7N,118.5W,,,,,,58000000000,0.19
152,2017,6.6S,69.7W,38,17.2,-0.4,8.7,-14.8,35000000000,0.12
153,2017,23.1N,60.7E,35,13.7,-10,-6.5,-6.8,73000000000,0.23
154,2017,34.3S,134.5E,20,15.2,10.9,-9.7,4.2,94000000000,0.29
155,2017,57.0N,143.7E,35.1,24.3,17.7,13.1,-10.3,1.84E+11,0.52
156,2017,54.2S,133.0E,33.3,13.6,8.7,-5.7,8.8,6.36E+11,1.6
157,2017,9.1S,101.8E,46,18.4,-6.5,-16.5,-5,90000000000,0.28
158,2017,49.6S,157.6W,33,,,,,35000000000,0.12
159,2017,26.0S,32.4E,33,,,,,35000000000,0.12
160,2017,25.7S,56.2E,32.4,21.5,-13.4,-14.2,8.9,1.5E+11,0.43
161,2017,28.3N,60.2W,28,,,,,1.26E+12,2.9
162,2017,40.5N,18.0W,23,36.5,-15.3,25.8,-20.8,4E+11,1
163,2017,26.1S,174.9E,37,,,,,72000000000,0.23
164,2017,29.5N,13.5E,25.4,12.2,-7.6,-9.3,2.2,65000000000,0.21
165,2017,50.7S,66.0W,,,,,,38000000000,0.13
166,2017,6.2N,60.4E,38,24.2,-6.6,-22.7,-5.3,2.95E+11,0.79
167,2017,27.4S,14.8W,54,,,,,20000000000,0.073
168,2017,10.4N,131.6E,33.5,,,,,66000000000,0.21
169,2016,21.3N,49.3E,42,29.7,-22.4,16.4,-10.5,38000000000,0.13
170,2016,34.5S,126.6W,,,,,,1.17E+11,0.35
171,2016,30.6S,93.1W,,,,,,31000000000,0.11
172,2016,15.2S,80.3E,30.6,17.4,9.1,-11.2,9.7,1.38E+11,0.4
173,2016,39.6S,16.3W,37,,,,,76000000000,0.24
174,2016,36.2N,6.7E,27.8,14.2,-10,3.9,-9.3,31000000000,0.11
175,2016,51.8S,178.5E,40,17.5,-2.5,-3.3,17,71000000000,0.22
176,2016,3.5S,44.6E,54,18.3,3.5,-16.2,7.7,76000000000,0.24
177,2016,56.9S,162.2E,42,,,,,1.42E+11,0.41
178,2016,43.7S,53.8E,34.3,14.9,-0.7,-11.4,9.6,1.84E+11,0.52
179,2016,46.4N,171.6E,32.4,,,,,1.21E+11,0.36
180,2016,7.8N,1.6W,37,,,,,45000000000,0.15
181,2016,1.0N,48.6E,38.2,25.1,-10.3,-2,-22.8,1.53E+11,0.44
182,2016,15.8N,11.9W,33.3,29.1,-29.1,1.5,0.7,4.58E+11,1.2
183,2016,17.4S,138.3E,28.7,14.5,6,-11.9,5.7,3.31E+11,0.87
184,2016,33.8N,110.9W,,,,,,1.72E+11,0.49
185,2016,10.2N,48.8W,32,,,,,69000000000,0.22
186,2016,32.8S,15.1E,30.6,20.8,5.4,-9.9,17.5,20000000000,0.073
187,2016,3.2N,6.6E,41.7,12.2,-6.7,-3.3,-9.6,5.19E+11,1.3
